Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л,Рейтинг
морковь,fine life,70.0,250,мл,280.0,
вишня,ростагроэкспорт,92.0,500,мл,184.0,
,fine life,68.0,250,мл,272.0,
манго,я,249.0,970,мл,256.7,5.0
персик,добрый,44.0,200,мл,220.0,
банан,мой,89.0,950,мл,93.68,
томат,il primo,166.0,1,л,166.0,5.0
,pulpy,116.0,450,мл,257.78,5.0
манго,il primo,177.0,1,л,177.0,
,fine life,1278.0,6,шт,213.0,
манго,j7,89.0,300,мл,296.67,
мультифрукт,любимый,149.0,970,мл,153.61,
яблоко,мой,89.0,950,мл,93.68,
,фрутмотив,129.0,1,л,129.0,
,,123.0,200,мл,615.0,
киви,фрутмотив,129.0,1,л,129.0,
,фрутмотив,129.0,1,л,129.0,
вишня,фрутмотив,64.0,500,мл,128.0,
апельсин,j7,119.0,300,мл,396.67,
апельсин,j7,69.0,385,мл,179.22,
вишня,фрутмотив,129.0,1,л,129.0,
банан,fine life,77.0,250,мл,308.0,
,,123.0,200,мл,615.0,
ягоды,фрутмотив,64.0,500,мл,128.0,
апельсин,фрутмотив,64.0,500,мл,128.0,
,фрутмотив,64.0,500,мл,128.0,
,,1230.0,10,шт,123.0,
,любимый,1428.0,12,шт,119.0,
вишня,rioba,631.0,8,шт,78.88,
апельсин,rich,3156.0,12,шт,263.0,
вишня,моя семья,1344.0,6,шт,224.0,
брусника,добрый,2148.0,12,шт,179.0,
яблоко,il primo,1098.0,6,шт,183.0,
,,1230.0,10,шт,123.0,
