Название,Способ обработки,Тип,Описание,Плотность,Кислотность,Количество,Единица,Цена,Цена за кг/шт,Рейтинг,Число отзывов
ИндонезияСуматра Гайо,вет-халл,дрип-пакеты,"Яркий кофе со вкусом шиповника , мандарина и листа смородины",0.8,0.8,10,шт,689,68.9,4.4,57
Гватемала Сантьяго,мытый,дрип-пакеты,"Сладкий кофе с нотами апельсина , сухофруктов и молочного шоколада",0.6,0.6,50,шт,2479,49.58,4.7,30
Гватемала Сантьяго,мытый,дрип-пакеты,"Сладкий кофе с нотами апельсина , сухофруктов и молочного шоколада",0.6,0.6,30,шт,1669,55.63,4.8,5
Гватемала Сантьяго,мытый,дрип-пакеты,"Сладкий кофе с нотами апельсина , сухофруктов и молочного шоколада",0.6,0.6,10,шт,619,61.9,4.8,48
БразилияСуль-де-Минас,натуральный,дрип-пакеты,"Сладкий кофе с нотами арахиса , пудры какао и цедры лимона",0.6,0.4,50,шт,2309,46.18,4.8,13
БразилияСуль-де-Минас,натуральный,дрип-пакеты,"Сладкий кофе с нотами арахиса , пудры какао и цедры лимона",0.6,0.4,30,шт,1599,53.3,4.8,13
Бэрри,cмесь,растворимый спешелти,"Плотный кофе с нотами ореховой пасты , тёмных ягод и печенья",0.8,0.2,9,шт,1039,115.44,4.7,114
Фанки,мытый фанки,растворимый спешелти,"Яркий кофе с нотами ягодного джема , цветочного мёда и тёмной карамели",0.6,0.6,9,шт,1219,135.44,4.5,250
Колумбия Декаф,"без кофеина, этилацетат",растворимый спешелти,"Кофе без кофеина с нотами чернослива , красного яблока и тёмного шоколада",0.4,0.6,9,шт,1279,142.11,4.6,3
Кения Найроби,мытый,для эспрессо,"Сочный кофе с нотами джема из смородины , чёрного чая и пудры какао",0.4,1.0,1000,г,2419,2419.0,4.7,359
Кения Маунт,мытый,растворимый спешелти,"Сочный кофе с нотами красной смородины , какао и чёрного чая",0.4,0.8,9,шт,1089,121.0,4.5,95
Эфиопия Сидамо,мытый,растворимый спешелти,"Лёгкий кофе с нотами цветов , жёлтых фруктов и спелого лимона",0.2,0.4,9,шт,1159,128.78,4.7,138
Флорал,смесь,капсулы для nespresso,"Лёгкий кофе с нотами цветов , тёмных ягод и цитрусовых",0.6,0.8,40,шт,1719,42.98,0.0,0
