Товар,Поставщик,Цена,Количество,Единица,Цена за кг/л
Колбаса,Мясной,275.0,400,г,687.5
Колбаса,Идель,205.0,400,г,512.5
Колбаса,Эколь,1019.0,750,г,1358.67
Колбаски,Дымов,64.0,50,г,1280.0
Колбаса,Велком,119.0,70,г,1700.0
Колбаса,Охотный,1719.0,1,кг,1719.0
Колбаса,Велком,339.0,350,г,968.57
Колбаса,Мясницкий,199.0,200,г,995.0
Набор,колбас,1859.0,900,г,2065.56
Колбаса,фуэт,589.0,150,г,3926.67
Колбаса,Дымов,95.0,150,г,633.33
Колбаса,Дымов,2789.0,500,г,5578.0
Колбаски,Мясницкий,99.0,60,г,1650.0
Колбаса,Докторская,799.0,1,кг,799.0
Колбаса,Solemici,909.0,330,г,2754.55
Колбаса,Идель,169.0,500,г,338.0
Колбаса,Дымов,359.0,330,г,1087.88
Колбаса,Casademont,2319.0,800,г,2898.75
Колбаса,Эколь,999.0,700,г,1427.14
Колбаса,фуэт,519.0,155,г,3348.39
Колбаса,Мираторг,248.0,350,г,708.57
Колбаса,Латифа,218.0,400,г,545.0
Колбаса,Микоян,949.0,564,г,1682.62
Колбаса,Черкизово,299.0,225,г,1328.89
Колбаса,Мясницкий,619.0,800,г,773.75
Колбаса,из,349.0,110,г,3172.73
Колбаса,молочная,449.0,1,кг,449.0
Колбаса,с,257.0,380,г,676.32
Колбаски,Дымов,89.0,70,г,1271.43
Колбаса,Мясницкий,279.0,200,г,1395.0
Колбаса,Мясницкий,239.0,400,г,597.5
Колбаса,Останкино,409.0,220,г,1859.09
Ветчина,Мираторг,359.0,400,г,897.5
Ветчина,Эко,509.0,750,г,678.67
Колбаса,Велком,349.0,400,г,872.5
Снек,мясной,177.0,70,г,2528.57
Колбаски,mini,199.0,80,г,2487.5
Колбаса,Дымов,1819.0,460,г,3954.35
Колбаски,Ремит,109.0,70,г,1557.14
Колбаса,говяжья,185.0,500,г,370.0
Колбаса,говяжья,185.0,500,г,370.0
Колбаса,Мираторг,619.0,280,г,2210.71
Колбаса,фуэт,499.0,125,г,3992.0
Колбаса,Охотный,2149.0,375,г,5730.67
Ассорти,колбас,699.0,125,г,5592.0
Колбаса,Мираторг,369.0,300,г,1230.0
Колбаса,Salumi,419.0,200,г,2095.0
Колбаса,Мясной,395.0,500,г,790.0
Мини-салями,Дымов,149.0,50,г,2980.0
Колбаса,Rapelli,449.0,80,г,5612.5
Колбаса,Дымов,229.0,70,г,3271.43
Колбаски,mini,251.0,80,г,3137.5
Мини-салями,Дымов,149.0,50,г,2980.0
Колбаса,Мираторг,289.0,300,г,963.33
Колбаса,Дымов,199.0,70,г,2842.86
Колбаса,Dalla,3099.0,2,кг,1549.5
Колбаса,Dalla,3299.0,3,кг,1099.67
Колбаса,Папа,609.0,1,кг,609.0
